timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.193982,1.35018,2.1769,2.3218,2.82133,0.929141,-0.0146241,0.303472
0.194967,1.36828,2.1945,2.2869,2.82876,0.924312,-0.0120524,0.308741
0.19604,1.33808,2.25062,2.28531,2.88388,0.932462,-0.0868871,0.313191
0.197029,1.34668,2.24572,2.27106,2.8489,0.933411,-0.0837954,0.320974
0.197935,1.34809,2.2419,2.26689,2.83227,0.928063,-0.0805722,0.318662
0.198994,1.34804,2.26838,2.281,2.85397,0.933643,-0.0851866,0.320747
0.20004,1.34563,2.27154,2.27679,2.85191,0.925178,-0.0894124,0.323864
0.20102,1.34837,2.25769,2.24578,2.85841,0.928514,-0.0994581,0.327121
0.202029,1.35626,2.24624,2.23804,2.82973,0.928467,-0.098299,0.32787
0.202981,1.34248,2.2272,2.23627,2.83639,0.928917,-0.102604,0.330616
0.204032,1.33803,2.23737,2.25358,2.85149,0.930754,-0.104432,0.332584
0.20503,1.32869,2.23676,2.23026,2.85206,0.927396,-0.106369,0.335869
0.206022,1.33919,2.19652,2.20168,2.82524,0.923072,-0.106007,0.339313
0.206928,1.33225,2.1911,2.19588,2.80392,0.921204,-0.103838,0.342109
0.20797,1.3023,2.18486,2.18292,2.79754,0.915075,-0.10561,0.345758
0.208936,1.30373,2.20039,2.18682,2.8289,0.91957,-0.109822,0.346747
0.210032,1.33297,2.18457,2.17222,2.82205,0.923507,-0.110492,0.347986
0.211031,1.31101,2.15812,2.16132,2.79382,0.91178,-0.115186,0.346129
0.212033,1.32032,2.14439,2.12987,2.7819,0.915629,-0.123121,0.348205
0.213045,1.31227,2.13616,2.1164,2.76527,0.895768,-0.12343,0.351654
0.214033,1.3031,2.1567,2.13369,2.80766,0.898109,-0.127916,0.353003
0.215017,1.29411,2.14449,2.11663,2.80884,0.893183,-0.139207,0.352934
0.215997,1.28633,2.09378,2.09788,2.81174,0.895844,-0.139054,0.358107
0.217026,1.27319,2.07946,2.07677,2.78645,0.896701,-0.145606,0.356169
0.217975,1.2523,2.07239,2.08342,2.7636,0.891399,-0.142412,0.359745
0.218976,1.24635,2.10808,2.09691,2.77115,0.894595,-0.148262,0.361764
0.219976,1.25184,2.10997,2.05691,2.79279,0.88533,-0.148355,0.363121
0.220972,1.24799,2.09945,2.05466,2.76886,0.88603,-0.147245,0.365142
0.221954,1.23614,2.07362,2.03189,2.74383,0.889384,-0.153823,0.3659
0.222928,1.23792,2.06419,2.00604,2.73747,0.879758,-0.157537,0.365359
0.22395,1.23539,2.08616,2.00433,2.76456,0.88739,-0.16163,0.368643
0.224947,1.22609,2.1041,1.99946,2.76043,0.884483,-0.163657,0.37378
0.225929,1.22074,2.07721,1.98943,2.73144,0.86664,-0.170046,0.373409
0.22694,1.19689,2.07234,1.97878,2.71867,0.860623,-0.17095,0.378971
0.228015,1.2025,2.06849,1.96611,2.72318,0.850347,-0.173632,0.380319
0.229017,1.19582,2.07138,1.96941,2.75228,0.852492,-0.174268,0.381695
0.230014,1.18715,2.07317,1.9467,2.73559,0.847658,-0.170986,0.384231
0.231055,1.1781,2.0795,1.93314,2.72803,0.841439,-0.176985,0.383601
0.232044,1.1614,2.06,1.92115,2.70675,0.830144,-0.178252,0.383577
0.233048,1.14421,2.05251,1.91101,2.65762,0.82084,-0.176043,0.385797
0.234043,1.13959,2.05445,1.93432,2.66677,0.822823,-0.179975,0.387239
0.234936,1.14373,2.02785,1.92826,2.65348,0.815356,-0.175593,0.389263
0.236045,1.12784,2.00893,1.92714,2.59346,0.80939,-0.174993,0.393123
0.237045,1.12458,2.01685,1.93208,2.55821,0.802071,-0.175214,0.393064
0.238033,1.10177,1.97593,1.9367,2.52614,0.794766,-0.177303,0.39565
0.238975,1.09329,1.99707,1.9713,2.54988,0.801301,-0.177495,0.396905
0.240041,1.07211,2.01324,1.9774,2.52697,0.791275,-0.186583,0.39766
0.241035,1.07401,2.00725,1.98554,2.4523,0.774326,-0.18296,0.399337
0.242011,1.06563,1.99074,2.00811,2.45764,0.764982,-0.186757,0.401203
0.243,1.04956,1.98261,2.00099,2.39665,0.761123,-0.183747,0.405128
0.243987,1.04077,2.00939,2.02593,2.44396,0.764584,-0.186167,0.406739
0.244985,1.04538,2.02954,2.02328,2.44894,0.754433,-0.186535,0.40778
0.245986,1.04174,2.04357,2.02157,2.37901,0.737311,-0.189289,0.411948
0.246984,1.02585,2.05999,2.02582,2.3898,0.748103,-0.198566,0.41075
0.247995,1.02532,2.05148,2.03733,2.33449,0.734154,-0.198703,0.4154
0.249014,1.00825,2.05964,2.0513,2.36239,0.740646,-0.202068,0.417543
0.250012,1.02348,2.0765,2.04457,2.34966,0.736312,-0.197082,0.418838
0.251035,1.02832,2.07746,2.01796,2.29707,0.732174,-0.192419,0.418744
0.252037,1.01018,2.06132,2.02089,2.29256,0.723893,-0.192578,0.423381
0.253039,1.00803,2.03365,2.00009,2.25949,0.721239,-0.199885,0.424471
0.25404,0.984389,2.05252,2.00906,2.26792,0.721895,-0.205644,0.424005
0.25503,0.988435,2.03795,2.00847,2.23994,0.724859,-0.202952,0.425057
0.255965,0.994628,1.9726,1.99867,2.19828,0.724842,-0.200806,0.426262
0.256925,0.979109,1.96837,2.00899,2.15642,0.726906,-0.204335,0.430324
0.257992,0.976158,1.96028,2.01222,2.11894,0.716379,-0.209847,0.42881
0.259018,0.962978,1.993,2.02613,2.12489,0.722997,-0.215385,0.431237
0.259945,0.970152,1.99072,2.02363,2.10623,0.717262,-0.217461,0.429977
0.260981,0.963255,2.00179,2.00093,2.07076,0.700203,-0.225111,0.437021
0.261941,0.951823,1.97559,1.9936,2.03548,0.705142,-0.229102,0.433676
0.263033,0.948524,1.98613,1.97975,2.01519,0.706883,-0.225376,0.436434
0.264035,0.935287,2.01569,1.98821,2.05354,0.719412,-0.232677,0.4388
0.26504,0.940795,2.02566,2.00295,2.02018,0.708849,-0.227457,0.442839
0.265931,0.927597,2.00448,1.98247,1.96557,0.711392,-0.227538,0.443551
0.266995,0.911845,1.9874,1.98904,1.91882,0.721019,-0.239644,0.443196
0.267986,0.896574,1.99813,1.979,1.84161,0.716845,-0.244273,0.44949
0.269032,0.887001,2.03909,2.0159,1.87185,0.724854,-0.242394,0.450304
0.269939,0.898678,2.04262,2.01688,1.81602,0.720576,-0.256806,0.450165
0.27104,0.863585,2.08618,1.98514,1.77168,0.721261,-0.262013,0.449748
0.272044,0.860312,2.08634,1.98839,1.73381,0.72653,-0.265988,0.45202
0.272977,0.818885,2.08708,1.98251,1.66264,0.723167,-0.263814,0.455049
0.274033,0.816982,2.12106,2.00823,1.64169,0.732822,-0.267061,0.457169
0.274988,0.809131,2.11938,1.99424,1.6047,0.728458,-0.256751,0.460269
0.276035,0.797309,2.1067,1.96734,1.54811,0.712932,-0.245957,0.461502
0.276996,0.793124,2.08624,1.99168,1.50966,0.709581,-0.242687,0.460575
0.277986,0.792275,2.05398,1.97118,1.41476,0.716334,-0.243027,0.467565
0.279031,0.779447,2.12433,1.98143,1.43257,0.729793,-0.24877,0.468345
0.280036,0.78243,2.09633,1.99423,1.41856,0.718049,-0.249348,0.466975
0.281035,0.776268,2.03931,1.95999,1.38431,0.709852,-0.266084,0.469047
0.281983,0.770793,2.04252,1.95417,1.38598,0.707765,-0.275739,0.472534
0.283008,0.778062,2.02073,1.91536,1.37501,0.706767,-0.285163,0.478141
0.284002,0.758206,2.06127,1.93301,1.40078,0.711824,-0.283326,0.478456
0.285008,0.752824,2.07571,1.93401,1.40952,0.701075,-0.277701,0.47391
0.286008,0.743401,2.06164,1.89398,1.40958,0.693526,-0.26363,0.479722
0.287,0.724998,2.05927,1.89648,1.41191,0.697495,-0.261797,0.476736
0.288002,0.719146,2.05305,1.88501,1.36804,0.704274,-0.253841,0.477845
0.288964,0.703491,2.06407,1.90837,1.4288,0.716586,-0.261907,0.480089
0.28993,0.704173,2.04455,1.8985,1.41462,0.714422,-0.262662,0.485618
0.29093,0.690254,2.01197,1.88721,1.40088,0.706823,-0.266506,0.484686
0.29193,0.671128,1.98352,1.89632,1.39662,0.708324,-0.28119,0.4841
0.292973,0.667664,1.95161,1.87338,1.3811,0.71467,-0.289396,0.484055
0.294047,0.654005,1.97075,1.90202,1.43389,0.724749,-0.282226,0.481824
0.295034,0.647137,1.94365,1.89898,1.43505,0.713253,-0.291134,0.480966
0.296043,0.622731,1.8971,1.87023,1.4005,0.700165,-0.288674,0.473308
0.29703,0.616434,1.88505,1.8671,1.36672,0.700955,-0.285432,0.465472
0.298034,0.593738,1.85375,1.86152,1.35708,0.69175,-0.287348,0.45308
0.298986,0.58675,1.87337,1.88802,1.42681,0.70375,-0.296643,0.448731
0.300035,0.574924,1.89478,1.86834,1.39326,0.705343,-0.296674,0.445035
0.301014,0.56567,1.86738,1.83837,1.33067,0.698025,-0.299684,0.440544
0.302012,0.558792,1.85531,1.8374,1.30606,0.702482,-0.311252,0.43874
0.302996,0.553441,1.81216,1.80623,1.27911,0.707584,-0.323097,0.440108
0.303989,0.550709,1.83081,1.81662,1.31698,0.715088,-0.322681,0.441192
0.304996,0.561913,1.84046,1.81574,1.30772,0.71699,-0.331414,0.445663
0.305994,0.562432,1.8111,1.76151,1.27567,0.714696,-0.329503,0.440946
0.306995,0.535397,1.78573,1.74995,1.23125,0.721105,-0.327272,0.448389
0.308008,0.535959,1.75808,1.70864,1.15712,0.718433,-0.315676,0.448176
0.309011,0.52517,1.77637,1.71915,1.17745,0.725889,-0.32286,0.450742
0.309989,0.536567,1.77412,1.71699,1.12754,0.727462,-0.319934,0.453385
0.311032,0.521611,1.73621,1.72052,1.09738,0.724142,-0.317892,0.457268
0.312037,0.515364,1.70255,1.70183,1.05672,0.722846,-0.324112,0.458716
0.313031,0.504124,1.64583,1.71293,1.01321,0.724506,-0.334831,0.462566
0.314029,0.485825,1.68011,1.7232,1.04341,0.727953,-0.336149,0.464453
0.314965,0.48115,1.65295,1.70109,1.03632,0.720154,-0.345817,0.46773
0.316029,0.457003,1.59667,1.68586,1.02363,0.711492,-0.35394,0.47001
0.31699,0.474979,1.58995,1.68701,0.983355,0.71338,-0.349934,0.473493
0.318002,0.441381,1.56741,1.65288,0.9477,0.710886,-0.344795,0.479875
0.319011,0.43207,1.60152,1.68748,0.991576,0.725296,-0.34884,0.481518
0.31999,0.422535,1.56109,1.69626,0.972897,0.718978,-0.339667,0.480699
0.32098,0.412828,1.55107,1.66677,0.939673,0.712309,-0.331989,0.483204
0.321968,0.404903,1.54495,1.68865,0.932115,0.711392,-0.332967,0.4843
0.323022,0.381857,1.53694,1.67977,0.924743,0.712282,-0.342438,0.486119
0.323992,0.380042,1.56459,1.71283,0.954801,0.717753,-0.345838,0.486924
