timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.275935,0.987154,1.98175,2.04413,1.2983,0.907646,-0.303312,0.491064
0.27699,1.00018,2.00471,2.02783,1.30947,0.897997,-0.307912,0.493473
0.278001,0.999556,2.01544,2.0356,1.24721,0.900586,-0.315289,0.497453
0.279002,0.977706,2.03311,2.03527,1.23765,0.905329,-0.313642,0.497346
0.279996,0.972938,2.02862,2.02427,1.22247,0.896019,-0.309102,0.494507
0.280989,0.951298,2.07875,2.04336,1.26546,0.90582,-0.30921,0.491311
0.281992,0.950945,2.05135,2.03639,1.24891,0.900658,-0.302978,0.488653
0.282997,0.944657,2.00438,2.02573,1.23024,0.89117,-0.295724,0.482084
0.283947,0.917745,1.98061,2.02271,1.22576,0.897657,-0.296109,0.47133
0.284993,0.912248,1.96008,2.01545,1.22187,0.89276,-0.297909,0.461374
0.285979,0.896552,2.02769,2.03042,1.2718,0.904765,-0.300857,0.456648
0.287003,0.902196,2.033,2.02569,1.2481,0.89932,-0.30246,0.450756
0.287998,0.883681,2.02137,1.99487,1.25269,0.893571,-0.30666,0.44872
0.28892,0.867391,2.03228,1.99123,1.26497,0.902043,-0.309036,0.449614
0.289919,0.871577,2.02564,1.98553,1.27057,0.895036,-0.313004,0.453601
0.290917,0.862553,2.04403,2.01919,1.30737,0.901603,-0.320627,0.454584
0.291945,0.85336,2.0243,1.98391,1.31319,0.897239,-0.317119,0.455495
0.293042,0.825194,1.99432,1.9557,1.27411,0.893632,-0.311248,0.457062
0.294047,0.815446,1.98467,1.97101,1.23967,0.891773,-0.313847,0.457613
0.295038,0.78616,1.94731,1.96407,1.21908,0.88784,-0.313176,0.457066
0.296035,0.780332,1.96249,1.98996,1.30079,0.897507,-0.314039,0.459909
0.297025,0.770595,1.93653,2.00444,1.28784,0.892276,-0.332257,0.463826
0.297923,0.771895,1.8709,2.01223,1.21117,0.897223,-0.34824,0.46621
0.299033,0.76806,1.87073,1.98026,1.20279,0.896278,-0.355368,0.468563
0.300039,0.766578,1.81693,1.98119,1.16865,0.89418,-0.364746,0.471197
0.300982,0.755012,1.83958,1.99486,1.2143,0.907517,-0.366655,0.472764
0.302029,0.757545,1.82781,1.9777,1.2058,0.90701,-0.376349,0.475913
0.303034,0.755079,1.79805,1.93162,1.14953,0.908821,-0.370271,0.477915
0.303984,0.729982,1.74366,1.93024,1.1203,0.911287,-0.367592,0.48224
0.305031,0.73504,1.7512,1.91323,1.05271,0.921331,-0.36342,0.483556
0.306025,0.721461,1.76333,1.92769,1.05022,0.930095,-0.378121,0.486114
0.307023,0.730787,1.74987,1.93352,1.04319,0.941737,-0.382658,0.48934
0.308008,0.7249,1.72947,1.9086,1.04057,0.937155,-0.391024,0.489689
0.309024,0.710512,1.67756,1.89034,0.980085,0.937014,-0.403909,0.493162
0.310005,0.707999,1.66706,1.90708,0.946975,0.926917,-0.40832,0.49489
0.311008,0.689938,1.68092,1.92643,0.972282,0.937143,-0.413896,0.497738
0.311994,0.671088,1.62338,1.89855,0.95219,0.939977,-0.41755,0.498395
0.312992,0.66362,1.56301,1.91462,0.901162,0.935514,-0.422165,0.502236
