x,y,z,g
0.33075179,0.01075126,0.10441101,1
0.33058904,0.01058855,0.10378938,1
0.33044248,0.01044203,0.10318392,1
0.33031383,0.01031343,0.10259632,1
0.33020482,0.01020448,0.10202832,1
0.3301172,0.01011693,0.10148163,1
0.3300527,0.01005251,0.10095795,1
0.33001306,0.01001296,0.10045902,1
0.33000001,0.01000002,0.09998654,1
0.33001467,0.01001478,0.09954161,1
0.33005581,0.01005605,0.09912301,1
0.33012171,0.01012208,0.09872903,1
0.33021064,0.01021114,0.09835794,1
0.33032084,0.01032148,0.09800801,1
0.33045059,0.01045138,0.0976775,1
0.33059816,0.01059909,0.0973647,1
0.33076179,0.01076287,0.09706788,1
0.33093976,0.01094098,0.0967853,1
0.33113034,0.01113169,0.09651525,1
0.33133177,0.01133326,0.09625598,1
0.33154233,0.01154395,0.09600578,1
0.33176029,0.01176202,0.09576292,1
0.33198389,0.01198574,0.09552567,1
