x,y,z
0.54726208,-0.02015798,0.51856610
0.54732593,-0.02018591,0.51861434
0.54738972,-0.02021383,0.51866262
0.54745345,-0.02024172,0.51871095
0.54751710,-0.02026959,0.51875933
0.54758069,-0.02029743,0.51880775
0.54764421,-0.02032526,0.51885622
0.54770766,-0.02035306,0.51890473
0.54777104,-0.02038083,0.51895329
0.54783435,-0.02040858,0.51900189
0.54789760,-0.02043631,0.51905054
0.54796078,-0.02046402,0.51909923
0.54802389,-0.02049170,0.51914797
0.54808694,-0.02051936,0.51919675
0.54814991,-0.02054700,0.51924557
0.54821282,-0.02057461,0.51929444
0.54827566,-0.02060220,0.51934336
0.54833844,-0.02062977,0.51939232
0.54840114,-0.02065731,0.51944133
0.54846378,-0.02068483,0.51949038
0.54852635,-0.02071233,0.51953947
0.54858885,-0.02073981,0.51958861
0.54865129,-0.02076726,0.51963779
0.54871366,-0.02079469,0.51968702
0.54877596,-0.02082210,0.51973629
0.54883819,-0.02084948,0.51978561
0.54890036,-0.02087684,0.51983497
0.54896245,-0.02090418,0.51988437
0.54902448,-0.02093149,0.51993382
0.54908645,-0.02095879,0.51998331
0.54914834,-0.02098606,0.52003285
0.54921017,-0.02101331,0.52008243
0.54927193,-0.02104053,0.52013206
0.54933363,-0.02106773,0.52018173
0.54939525,-0.02109491,0.52023144
0.54945681,-0.02112207,0.52028120
0.54951830,-0.02114920,0.52033100
0.54957973,-0.02117632,0.52038084
0.54964108,-0.02120341,0.52043073
0.54970237,-0.02123047,0.52048066
0.54976360,-0.02125752,0.52053063
0.54982475,-0.02128454,0.52058065
0.54988584,-0.02131154,0.52063071
0.54994686,-0.02133852,0.52068082
0.55000781,-0.02136547,0.52073097
0.55006870,-0.02139240,0.52078116
0.55012952,-0.02141931,0.52083140
0.55019027,-0.02144620,0.52088167
0.55025096,-0.02147307,0.52093200
0.55031157,-0.02149991,0.52098236
0.55037213,-0.02152673,0.52103277
0.55043261,-0.02155353,0.52108322
0.55049303,-0.02158031,0.52113372
0.55055338,-0.02160706,0.52118425
0.55061366,-0.02163380,0.52123483
0.55067388,-0.02166051,0.52128546
0.55073402,-0.02168719,0.52133612
0.55079411,-0.02171386,0.52138683
0.55085412,-0.02174051,0.52143758
0.55091407,-0.02176713,0.52148838
0.55097395,-0.02179373,0.52153921
0.55103377,-0.02182031,0.52159009
0.55109351,-0.02184686,0.52164101
0.55115319,-0.02187340,0.52169198
0.55121281,-0.02189991,0.52174299
0.55127235,-0.02192640,0.52179404
0.55133184,-0.02195287,0.52184513
0.55139125,-0.02197932,0.52189626
0.55145060,-0.02200574,0.52194744
0.55150988,-0.02203214,0.52199866
0.55156909,-0.02205853,0.52204992
0.55162824,-0.02208489,0.52210122
0.55168732,-0.02211123,0.52215257
0.55174633,-0.02213754,0.52220395
0.55180528,-0.02216384,0.52225538
0.55186416,-0.02219011,0.52230685
0.55192297,-0.02221636,0.52235837
0.55198172,-0.02224259,0.52240992
0.55204040,-0.02226880,0.52246152
0.55209901,-0.02229499,0.52251316
0.55215756,-0.02232115,0.52256484
0.55221604,-0.02234730,0.52261656
0.55227445,-0.02237342,0.52266832
0.55233280,-0.02239952,0.52272013
